ID,Age,Income,Debt,CreditScore,EmploymentYears,EducationLevel,Default
938847,44,195768,7669,800,4,PhD,0
406184,53,134858,48592,579,5,Bachelor,0
361223,33,195902,26679,821,11,Bachelor,0
57931,40,96319,77894,547,3,Bachelor,0
750843,55,86127,55318,421,12,Master,0
906033,25,86993,53741,470,19,Bachelor,0
921393,54,128632,41444,744,8,Bachelor,0
101628,32,159923,48093,335,10,Master,0
2949,46,31514,60728,758,16,High School,0
121646,34,158254,47694,485,18,Bachelor,0
426528,42,115955,27186,418,5,Bachelor,0
939876,50,170183,96145,447,30,PhD,0
708212,32,43986,42461,598,11,Master,0
833700,60,197362,55559,302,12,Bachelor,0
309636,63,176854,13264,601,8,PhD,1
979005,41,71942,96203,731,5,Master,0
89547,42,117970,66971,624,8,Bachelor,0
760132,27,115555,52543,329,28,PhD,0
550936,36,53828,62758,319,20,High School,0
218551,47,188008,28549,693,7,High School,0
427761,41,41620,77270,339,30,High School,0
274537,21,42584,8746,614,14,PhD,0
474658,35,96015,7404,480,1,Master,0
680367,64,139438,32339,755,3,Master,0
201010,24,95006,86165,632,30,PhD,1
685880,47,70361,20653,311,7,High School,1
619501,60,138718,40823,548,18,Bachelor,0
6436,28,134366,45903,330,20,Bachelor,0
639732,64,79475,47033,323,22,PhD,0
985715,64,107686,69710,729,4,Master,0
228008,24,29339,55961,616,5,Bachelor,0
248456,57,78890,5168,409,5,Master,0
360667,48,24947,21342,793,24,PhD,1
389796,64,68656,24110,650,1,PhD,0
242838,59,48057,94399,564,30,Master,0
759390,33,191276,29137,354,3,High School,0
689640,54,48021,60274,682,11,High School,0
745838,40,183414,70908,354,19,Master,1
961755,44,159702,66388,510,29,High School,0
696161,31,91629,10200,592,20,High School,1
671049,58,101150,87309,313,27,PhD,1
845472,18,160072,55919,654,4,High School,1
482226,22,78378,61792,714,12,PhD,0
23189,39,38100,16498,457,8,PhD,1
15550,48,47019,40811,380,8,PhD,0
311798,39,73843,43137,706,12,PhD,0
852240,35,185792,65967,366,17,PhD,0
87182,30,42684,43740,674,17,High School,0
489840,43,151986,81559,640,5,High School,0
478589,32,55710,15545,324,22,PhD,0
88473,34,152147,7830,403,14,Master,0
281313,59,32813,28701,529,23,PhD,0
86768,60,138245,10922,500,13,PhD,0
947290,55,156151,21513,683,17,Bachelor,0
953205,42,87044,69101,417,21,Master,0
603045,33,90786,60917,832,10,PhD,0
679812,48,139557,40456,814,4,PhD,0
897154,38,82900,13509,675,23,High School,0
149976,38,67367,8545,821,14,PhD,0
398923,33,42978,48215,621,12,Bachelor,0
370692,20,193120,25242,609,18,High School,0
457731,24,28716,99924,739,5,Master,0
604078,47,121197,63265,361,2,Bachelor,0
799494,42,107027,39826,400,13,High School,0
193093,27,103010,35321,571,26,High School,0
313266,25,37641,22956,332,15,High School,0
820989,52,119651,57681,778,10,High School,1
479775,36,111004,80987,447,4,High School,0
813604,43,131636,34485,685,27,Master,0
19861,26,182995,98292,720,13,Master,0
482843,41,178075,67113,795,8,PhD,0
988672,41,127734,92200,400,27,PhD,0
750332,22,74495,53935,405,23,Master,0
683681,42,39153,58946,644,19,Master,0
365267,22,77020,80336,390,5,PhD,0
637539,43,115262,67540,568,19,PhD,0
703327,43,154494,84501,414,9,PhD,0
865542,23,92005,54099,702,7,Master,0
566419,61,168008,93271,482,28,Master,1
17478,58,170741,24679,515,21,Bachelor,1
499812,30,84311,59408,759,18,PhD,0
741426,38,152367,92766,839,21,High School,1
680391,26,53489,18497,810,16,PhD,0
92373,58,146424,53755,814,15,High School,0
822249,61,26061,12365,533,21,Master,0
159937,56,117214,11623,831,3,Bachelor,0
198764,39,42292,87567,449,18,PhD,1
19087,49,42165,13224,481,14,Bachelor,0
905702,63,81350,98908,361,1,High School,0
777129,26,34921,21406,354,21,High School,1
175769,61,108997,11304,567,25,PhD,1
90366,52,199697,24225,822,16,High School,1
73343,58,109983,64107,452,14,High School,0
508868,24,144925,92434,765,11,PhD,0
767036,43,31189,8008,771,5,High School,0
379861,26,114189,84178,763,19,PhD,0
949126,19,168657,70439,643,27,Master,0
262949,61,182515,58867,391,11,Bachelor,0
442569,30,79746,83649,317,10,Master,0
216057,57,198608,10310,542,1,PhD,0
803686,63,166528,61369,739,19,High School,0
37047,28,158435,29601,734,5,PhD,1
833256,44,177208,80943,838,9,Master,0
194593,62,51213,78519,524,19,Master,0
866672,58,146310,38958,650,1,Bachelor,0
705949,27,117874,54954,573,3,High School,0
309246,58,104630,15307,591,11,Bachelor,0
517931,56,195001,92822,611,21,High School,1
625613,57,46237,54589,840,25,Master,0
681103,44,100204,52584,343,29,High School,1
459720,29,37105,23368,425,23,Bachelor,0
432844,49,179645,32043,450,16,High School,1
358527,42,140059,27904,545,5,Master,1
964519,22,165588,65432,539,11,High School,0
256889,62,76311,7327,750,19,Bachelor,0
331784,44,68682,34661,683,0,PhD,0
446157,42,114515,19010,378,18,Master,0
953547,27,175499,6106,486,5,Bachelor,0
228426,44,158696,75754,474,27,High School,0
739120,25,46625,94070,548,3,High School,0
921309,59,173417,38529,615,25,PhD,0
